Final_score	Birds	Bonus_cards	End_of_round_goals	Eggs	Food_on_cards	Tucked_cards	Nectar	Win	Player	Place	Forest	Grass	Water	turn_order	Win_bool	allbirds	N_birds
128	56	7	6	4	18	17	9	0	Sain						FALSE		0
129	70	12	12	1	5	9	12	1	Nino						TRUE		0
117	75	14	11	7	1	2	7	0	Lowen	4_5				1	FALSE		0
112	66	12	6	2	4	12	10	0	Florina	5_5				2	FALSE		0
118	69	8	10	11	7	9	5	0	Sain	3_5				3	FALSE		0
125	53	21	16	10	4	19	2	1	Nino	1_5				4	TRUE		0
125	58	12	7	18	10	15	5	1	Lucius	1_5				5	TRUE		0
126	58	44	5	2	1	11	5	0	Lucius	2_6				1	FALSE		0
112	67	18	1	13	0	11	2	0	Nino	4_6				2	FALSE		0
144	82	18	16	11	13	2	2	1	Sain	1_6				3	TRUE		0
107	56	22	8	12	0	10	9	0	Lowen	5_6				4	FALSE		0
124	59	19	11	15	6	9	5	0	Florina	3_6				5	FALSE		0
98	39	20	7	15	11	6	0	0	Karel	6_6				6	FALSE		0
86	41	7	17	12	0	9	0	0	Lowen	5_5				1	FALSE		0
112	44	28	15	7	2	7	9	0	Nino	3_5				2	FALSE		0
123	49	33	15	0	7	15	4	0	Lucius	2_5				3	FALSE		0
92	57	3	5	1	11	15	2	0	Florina	4_5				4	FALSE		0
133	57	10	19	12	21	4	10	1	Sain	1_5				5	TRUE		0
129	60	10	18	15	2	22	2	1	Sain	1_6				1	TRUE		0
98	52	0	18	13	2	6	7	0	Lowen	5_6				2	FALSE		0
109	41	12	17	21	3	13	2	0	Oswin	3_6				3	FALSE		0
101	37	9	17	6	16	14	2	0	Florina	4_6				4	FALSE		0
98	45	17	11	4	9	7	5	0	Nino	5_6				5	FALSE		0
116	40	23	0	6	3	35	9	0	Lucius	2_6				6	FALSE		0
126	58	22	12	13	14	4	2	0	Athos						FALSE		0
98	57	0	6	5	0	23	7	0	Erk						FALSE		0
154	74	26	13	13	19	7	2	1	Sain						TRUE		0
131	77	25	6	11	1	1	10	0	Pent						FALSE		0
103	44	6	11	12	4	26	0	0	Kent						FALSE		0
85	36	6	6	14	10	9	4	0	Athos	4_4				1	FALSE		0
89	42	4	3	3	10	19	8	0	Erk	3_4				2	FALSE		0
104	50	19	15	6	5	4	5	1	Kent	1_4				3	TRUE		0
99	48	12	14	7	6	9	3	0	Sain	2_4				4	FALSE		0
111	54	9	10	7	8	23	0	0	Lowen	5_5				1	FALSE		0
127	55	11	18	9	2	17	15	1	Florina	1_5				2	TRUE		0
121	63	13	15	2	3	22	2	0	Sain	2_5				3	FALSE		0
120	38	17	19	11	20	11	4	0	Oswin	3_5				4	FALSE		0
119	42	5	20	24	9	17	2	0	Dart	4_5				5	FALSE		0
147	57	15	9	27	4	33	2	1	Merlinus						TRUE		0
115	51	11	18	26	4	5	0	0	Oswin						FALSE		0
130	73	12	15	5	4	16	5	0	Nino						FALSE		0
138	54	13	13	25	13	18	2	0	Sain						FALSE		0
118	53	6	7	9	10	21	12	0	Florina						FALSE		0
118	53	6	7	9	10	21	12	0	Lowen						FALSE		0
127	63	19	22	23	0	16	7	1	Florina						TRUE		0
125	48	17	6	8	27	17	2	0	Rebecca						FALSE		0
92	53	7	7	8	7	5	5	0	Karla						FALSE		0
121	31	17	7	2	0	59	5	0	Sain						FALSE		0
124	31	8	13	8	0	57	7	0	Lowen						FALSE		0
126	54	23	11	13	7	13	5	0	Nino						FALSE		0
127	47	4	17	3	13	33	10	0	Lucius	3_6				1	FALSE		0
117	53	21	14	4	0	25	0	0	Nino	4_6				2	FALSE		0
117	54	11	6	18	0	26	2	0	Lowen	4_6				3	FALSE		0
139	70	16	14	10	9	18	2	1	Sain	1_6				4	TRUE		0
110	48	17	17	9	3	6	10	0	Hawkeye	6_6				5	FALSE		0
136	64	18	14	11	4	23	2	0	Florina	2_6				6	FALSE		0
